name,municipality,iata_code
Trw Manhattan Beach Heliport,Manhattan Beach,
The Farm Airport,Keenesburg,
Doctors Lake Seaplane Base,Orange Park,
David Wine's Airstrip,Lake Wales,
Seven Lakes Airport,Jackson,
Lerchs Airport,Martelle,
Wabash County Hospital Emergency Heliport,Wabash,
Ferris Field,Marengo,
Fowler Field /Private/ Airport,Greentown,
Wilson Airport,Fithian,
Seneca Municipal Airport,Seneca,
Pikeville Methodist Hospital Heliport,Pikeville,
Ken Guidry Nr 4 Airport,Maurice,
Rush Copley Emergency Center Heliport,Yorkville,
Casey County Hospital Heliport,Liberty,
Sandy Point Airport,Prince Frederick,
Combs Airport,Samaria,
Taylors Falls Airport,Taylors Falls,
Washburn Farm Airport,Grain Valley,
Hickory Hill Airport,Havelock,
Morten Airport,Larimore,
Beebe Airport,Hayes Center,
Carleton Heliport,Hales Location,
Scheller Airport,Schooleys Mountain,
Seven Rivers Airport,Carlsbad,
Adirondack Helicopters Heliport,Gouverneur,
Willard Field,Bremen,
Parma Community Hospital Heliport,Parma,
Lewis North Airport,Jay,
Cinder Butte Heliport,Redmond,
Shreveport North Airport,Wellsville,
Hawken Air One Airport,Elgin,
Otto Kaiser Hospital Heliport,Kenedy,
Gateway Helistop,Houston,
Barge Ranch Airport,Belton,
Grasso Salvage Airport,Holland,
Lakewood Heliport,Arlington,
Lakeview Medical Center Heliport,Rice Lake,
J F Ranch Airport,Clairette,
Lloyd R. Roundtree Seaplane Facility Seaplane Base,Petersburg,
Kucera Residence Airport,Big Lake,
Mc Neely Airport,Earle,
At&T - Apache Junction Heliport,Mesa,
Desert Air Sky Ranch Airport,North Shore,
G3 Ranch Airport,Capay,
Meadowlark Field,Livermore,
Hendricks Field At West Creek Ranch Airport,Gateway,
Link Field,Alachua,
Shands Cair Heliport,Gainesville,
Zips Airport,Mc Donough,
Davis County Hospital Heliport,Bloomfield,
Woods Field,Franklin,
Emerick Airport,Marengo,
Ropkey Field,Indianapolis,
Corn Alley Airport,El Paso,
Hillside Airport,Stilwell,
5-D Ranch Airport,Clay Center,
Harrison Memorial Hospital Heliport,Cynthiana,
Leonards Airfield & Indust Park Airport,Delcambre,
Providence Hospital Heliport,Novi,
Weideman International Airport,Two Harbors,
Heartland Hospital West Heliport,St Joseph,
Wood Airport,Wilson,
Moellenkamp Airport,Lisbon,
Howell Township Police Heliport,Farmingdale,
Shear Airport,Ransomville,
White's Airport,Darbyville,
Bowman Field,Delaware,
Chandler Armory Heliport,Chandler,
Mountaindale Airport,Mountaindale,
Boyer Airport,Wernersville,
Helicopter Services Heliport,Coopersburg,
Colville Municipal Airport,Colville,
Barnett Airport,Chillicothe,
Flying S Ranch Airport,Kennard,
The America Tower Heliport,Houston,
Grosser Airport,Bergheim,
Mannboro Medical Center Heliport,Mannboro,
Boyle R & D Airport,Colbert,
Flying H Airport,Monroe,
Byram Ranch Airport,Henly,
Tyler Municipal Airport,Tyler,
Carpentiers Strip,Point Mackenzie,
Lowrance Airport,Driver,
Ktsp Heliport,Phoenix,
Vincent Airport,Genoa City,
Tahoe Forest Hospital Heliport,Truckee,
Goodyear Blimp Base Airport,Carson,
Sunrise Dusters Airport,Knights Landing,
Cholla Airport,Walsenburg,
Woodstock Airport,South Woodstock,
Bayhealth Medical Center Heliport,Dover,
Alvie Cole Ranch Airport,Sterling City,
Naked Lady Ranch Airport,Stuart,
St Marys Hospital Heliport,West Palm Beach,
District Vi Heliport,Miami,
Page Regional Airport,Page,
Big 'T' Airport,Senoia,
Lee Bottom Airport,Hanover,
The Lutheran Hospital of Indiana Heliport,Fort Wayne,
Walpole Airport,Marengo,
Peacock Farms Airport,Fairmount,
Precision Chrome Heliport,Fox Lake,
Hemp Ridge Airport,Shelbyville,
Med-South Heliport,Opelousas,
Rose Nr 3 Heliport,Chicago,
Dave Libby Heliport,Falmouth,
Ti Heliport,Utica,
Svard Heliport,Plymouth,
Booze Island Airport,St Joseph,
Fields Airport,Pleasant Garden,
Z. P. Field,Mandan,
Seward Memorial Hospital Heliport,Seward,
New Jersey Bell Cdc 11 Heliport,Freehold Township,
Hemlock Run Airport,Watkins Glen,
Antone Ranch Airport,Mitchell,
O K Dies Airport,Salem,
Ponderosa Heliport,Salem,
Cordell Memorial Hospital Heliport,Cordell,
Plum Valley Airport,Amity,
J C Blair Memorial Hospital Heliport,Huntingdon,
Hershey Medical Center Heliport,Hershey,
Galvestonian Heliport,Galveston,
Apache Springs Airport,Kerrville,
St Luke's Episcopal Hospital Heliport,Houston,
North Central Baptist Hospital Heliport,San Antonio,
Wallace Municipal Airport,Wallace,
Creeds Heliport,Virginia Beach,
Everett I Heliport,Bellevue,
Sky Diving Airport,Omro,
Wadley Regional Medical Center Heliport,Texarkana,
Mcdonald Ridge Airport,Wasilla,
Bernard Manor Airport,Earle,
St Mary's Helistop,Tucson,
Lubec Municipal Airport,Lubec,
Sce San Joaquin Heliport,Tulare,
Al Divine Airport,Caruthers,
Bottimore Ranch Airport,Herald,
Wkr Airport,Fort Collins,
Yellow Whirley Bird Heliport,Panama City Beach,
Harbor Links Yacht & Country Club Heliport,Stuart,
Maple Grove Airport,Fowlerville,
Fort Gillem Heliport,Fort Gillem,FOP
Far Field,Marengo,
Wells County Sheriff's Department Heliport,Bluffton,
Frings Airport,Leeds,
Griffith Field,Downs,
Arh Heliport,Middlesboro,
Southern Seaplane Airport,Belle Chasse,BCS
Jet Pad Heliport,Lansing,
Ricks Field,Wendell,
Deaconess Hospital Heliport,St Louis,
Scenic Overlook B & B Heliport,Pilot Mountain,
Triangle Heliport,New Brunswick,
Curtis and Curtis Airport,Forrest,
Chautauqua Lake Airpark,Mayville,
Wiita Farms Airport,Sharon Center,
Bass Heliport,Chardon,
Lakemont Shores Heliport,Disney,
Timberland Shop Heliport,Ashland,
Cherry Valley Airport,Saylorsburg,
Flying C Ranch Airport,Independence,
Windwood Farm Airport,Bells,
Roach Farm Airport,Fall Branch,
Becker Airport,Alvord,
Flying Eagle Ranch Airport,Salt Flat,
Nat'l Hosp For Orthopaedics/Rehabilitation Heliport,Arlington,
Wissler's Airport,Tenino,
Dulmes Field,Oostburg,
Whoopy Hollow Aerodrome,Wiota,
Birdnest Airport,Parker,
June Lake Seaplane Base,Wasilla,
Banner Desert Medical Center Heliport,Mesa,
Gillespie Field,Meddybemps,
Rancho San Simeon Airport,Cambria,
Triangle T Ranch Airport,Chowchilla,
Northrop Palos Verdes Heliport,Palos Verdes,
Rotor Leasing Heliport,Elbert,
J.R.'s STOLport,Crystal River,
Va Outpatient Clinic Heliport,Melbourne,
Wm 'Tiny' Zehnder Field,Frankenmuth,
Sawyer Farm Airport,Blakely,
Pat Robinson Airport,Lapel,
Aerogrange Airport,Marengo,
Oakes Field,Charlottesville,
Corporetum Office Campus Heliport,Lisle,
Patterson Farms Airport,Independence,
Mc Grew Airport,Clarkson,
Schexnayder Airport,Erwinville,
East Lake Airport,Kalamazoo,
Howard's Airport,Clara City,
Ahlers Acres Airport,Foristell,
Hood Field,Dover,
Forked River Heliport,Forked River,
Maple Ridge Airport,Medina,
Medical Center South Heliport,Broadview Heights,
Gorman-Freeman Airport,Wooster,
Mc Laughlin Farm Airport,Durant,
Winston-Dillard Fire District Station Nr 2 Heliport,Dillard,
Williamsport Hospital & Medical Center Heliport,Williamsport,
Cavanaugh Bay Airport,Coolin,
Bradair Heliport,Pearland,
The Landings Airport,Granbury,
Khou-Tv Heliport,Houston,
Loma de Cometa Airport,Cometa,
Ibm Building 110 Heliport,Manassas,
Trout Lake Airport,Trout Lake,
J-3 Cub Field,Watertown,
Baylie Airport,Westminster,
South Hollywood Airport,Wasilla,
Wedington Woods Airport,Fayetteville,
Good Samaritan Hospital Heliport,Phoenix,
Chapman Farms Airport,Chowchilla,
Davis Airport,Colusa,
Pacific Gas & Electric Co Camp 5 Heliport,Placerville,
Highline Farm Airstrip,Bracewell,
Reader-Botsford Airport,Wellington,
Gulf Coast Hospital Heliport,Fort Myers,
Myakka Head Airport,Zolfo Springs,
Apalachee Bluff Airpark,Monroe,
Schoettmer Farm Airport,Greensburg,
Mitchell RLA Restricted Landing Area,Marseilles,
Smitty's Soaring Airport,Knox,
Wabash General Hospital Heliport,Mount Carmel,
Montezuma Coop Airport,Montezuma,
Estes Airport,Florence,
Transcontinental Gas Pipeline Corp Heliport,Baton Rouge,
County Poor Farm Airport,Oregon,
Station-Kel Heliport,Westbrook,
Pagel's Field,Atwater,
Ski Harbor Airport,Pittsburg,
Hightower Areo Plantation Airport,Wadesboro,
Waldie Farms Airport,Marion,
L J Bose Airstrip,Orleans,
Mount Pleasant Landing Strip,Hainesburg,
Ultralight Port Ultralightport,Little Valley,
George Airport,Sheridan,
Harper Ridge Airport,Solon,
Northside & Tod Children's Hospital Heliport,Youngstown,
Flying J Ranch Airport,Peggs,
Mc Gee Airport,Donald,
West Company Heliport,Williamsport,
Masser Field,Sacramento,
Priest Lake Usfs Airport,Nordman,
Tips Jewels Heliport,Bulverde,
Fisher Ranch Airport,Killeen,
Aldine Heliport,Houston,
Old Hoppe Place Airport,Agua Dulce,
Karmy's Airport,Woodstock,
Page Airport,Walla Walla,
Accurate Airport,Necedah,
Knapp Medical Center Heliport,Weslaco,
Wrangell Seaplane Base,Wrangell,
Cowell's Heliport,Big Lake,
Music Mountain Air Ranch Airport,Hackberry,
Central County Airport,Iola,
Lake California Air Park,Cottonwood,
El Rico Airport,Corcoran,
Porter Ranch Airport,Kennedy Meadows,
Singleton Ranch Airport,Byers,
Maran Airport,Fountain,
Ems Heliport,Tampa,
Duford Field,Genesee,
Calhoun Heliport,Marietta,
Rapoport Ranch Airport,Sandpoint,
Clinton County Fairgrounds Heliport,Frankfort,
Prairie Lake Hunt Club Airport,Marseilles,
Alley Oop Airport,Wheatfield,
Casa De Aero Park Airport,Hampshire,
Hancock Pond Seaplane Base,Denmark,
Cloud 9 Airport,Paola,
Lee's Airpark,Somerset,
Pilkinton Airstrip,Bossier City,
Saline Airport,Saline,
Mathew Private Field,Barnesville,
Dexter Memorial Hospital Heliport,Dexter,
Winstead '76' Airport,Leasburg,
Hall-Feld Airport,Davey,
N U I Heliport,Somerville,
Flying H Ranch Airport,Hope,
Merrimac Farms Airport,Mount Morris,
Abbey Etna Heliport,Perrysburg,
Fairfax Heliport,Fairfax,
Lyda Ranch Airstrip,Dufur,
Don's Place Airpark,Hamburg,
Hamp Airport,Elwell,
Avsi-Sugar Land Heliport,Sugar Land,
Norris Raun Ranch Airport,El Campo,
Bishop Field,Royce City,
San Patricio International Airport,San Patricio,
Carilion New River Valley Medical Center Heliport,Radford,
Mc Mahon Field,Zillah,
St Francis Medical Center Heliport,La Crosse,
Margaritaville Airport,Whitesboro,
Wells Municipal Airport,Wells,
Memory Lake Seaplane Base,Wasilla,
Maricopa County Sheriff's Office Heliport,Mesa,
Victor Valley Community Hospital Heliport,Victorville,
Medlock Field,Davis,
Porter Memorial Hospital Heliport,Denver,
The Shore Heliport,Mystic,
Unicorn Place Airport,Defuniak Springs,
Eagle's Landing Airport,Fort Myers,
Richmond Field,Gregory,
Liberty Memorial Hospital Heliport,Hinesville,
Great Oaks Airport,Tignall,
Greuter Field,Butler,
David Gillespie Airport,Marseilles,
Solar Nr 1 Heliport,Lynnville,
Sinele's Sunset Strip,Niota,
Chiles Airpark,Chiles,
Lyndon Fire Protection District Heliport,Lyndon,
Our Lady of Lourdes Hospital Heliport,Lafayette,
Maas Airstrip,New Boston,
Perry Aero Park,Perry,
Yaggie Private Airport,Breckenridge,
Hess-Mckeown Airport,Higbee,
Hall Airport,Farmington,
Slatington Airport,Slatington,
Clute's Hilltop Airport,Forest City,
Tengesdal Airport,Maxbass,
"Lockheed Electronics Company, Inc. Heliport",Watchung,
Moses Ludington Hospital Heliport,Ticonderoga,
Dwight Field,Homer,
Schulze's Airport,Chatfield,
Green Country Airpark,Fairland,
Dick Fisher Airport,Gaston,
Hurst STOLport,Newmanstown,
Avey Field State Airport,Laurier,
Dean Airport,Corpus Christi,
Deer Pasture Airport,Lampasas,
White Airport,Killeen,
Green Lake Ranch Airport,Bloomington,
Meadow Farm Airport,Ashland,
O & M Facilities Heliport,Clarkston,
Kroy-Osceola Heliport,Osceola,
Richey Airfield,Chico,
Brushy Creek Airport,Whitesboro,
Warf Airport,Reidsville,
Kimball Municipal Airport,Kimball,
Brocker Lake Seaplane Base,Big Lake,
Rainy Pass Lodge Airport,Rainy Pass,
Platinum Mine Airport,Platinum,
Sleepers Strip,Point Mackenzie,
Butler Aviation Airport,Kenai,
Fire Island Airport,Anchorage,
Rainbow Heights Estates Airstrip,Wasilla,
Tulakes Airport,Wasilla,
Cizek North Airport,Wasilla,
Sweet Home Airport,Henagar,
Hawthorn Pines Airport,Chatom,
Cypress Creek Airpark,El Paso,
Elder Airstrip,Cave Springs,
A J's Airport,Casa,
University Hospital Heliport,Little Rock,
Baptist Health Medical Center-Heber Spring Heliport,Heber Springs,
Mc Donald's Airstrip,Calamine,
Two Rivers Airport,Little Rock,
Arkansas Heart Hospital Heliport,Little Rock,
Flying W Airpark II Airport,Charleston,
Pine Mountain Airpark,Flippin,
Westcor Aviation South Ramp Heliport,Scottsdale,
Wisky Ranch/Chevlon Airport,Heber,
Ash Creek Airport,Pearce,
Copper Queen Hospital Heliport,Bisbee,
Toon Tail Heliport,Tonopah,
Flying Diamond Airport,Tucson,
Middlebury State Airport,Middlebury,
Bean Blossom Airport,New Lothrop,
Frankfort-Highland Airport,Utica/Frankfort,
Minute Man Air Field,Stow,
Eldora Municipal Airport,Eldora,
Ohio Dusting Co Inc Airport,Pandora,
Hotel New Otani Los Angeles Heliport,Los Angeles,
Triple R Ranch Airport,Macdoel,
Sce Rosemead Heliport,Rosemead,
Catalina Air-Sea Terminal Heliport,San Pedro,SPQ
East Valley Sheriff's Station Heliport,Thousand Oaks,
Valley Vista Airport,Yucca Valley,
Eagle Ridge Ranch Airport,Railroad Flat,
J&J Crop Dusters Inc Airport,Arvin,
Depue Airport,Lenwood,
UCLA Emergency Medicine Department Heliport,Los Angeles,
Majors Airport,Bakersfield,
White Pine Heliport,Eagleville,
William Shells County Heliport,Fillmore,
Manzanita Airport,Mariposa,
Majlar Heliport,Ojai,
Mark Franz Private Strip,O'Neals,
Orange Co Sheriffs Forensics Lab Helistop,Santa Ana,
Harley Airport,Stockton,
Peoria Airport,Jamestown,
Doctors Mesa Airport,Eckert/Orchard City,
Burnham Field,Wellington,
Mesawood Airpark,Cedaredge,
Wine Glass International Airport,La Junta,
Hat-Field STOLport,Fort Collins,
Montrose Blm Heliport,Montrose,
Skywagon Ranch Airport,Berthoud,
Monument Heliport,Grand Junction,
West Area Pwr Admin Ops Center Heliport,Montrose,
Salida Hospital Heliport,Salida,
Maddock Municipal Airport,Maddock,
Schmeltzer Heliport,Akron,
Deshler Municipal Landing Strip,Deshler,
Talihina Municipal Airport,Talihina,
Manning Field,Jefferson,
Orlando Hyatt House Heliport,Kissimmee,
Windy Acres Airport,Chiefland,
Crystal River Power Plant Heliport,Crystal River,
Big Oaks Ranch Airport,Chuluota,
Dunedin Heliport,Dunedin,
Blanket Bay Airport,Yeehaw Junction,
Britt Brown & Porter Ranch Airport,Eustis,
Thomson Airfield,Ellenton,
Broward General Medical Center Heliport,Fort Lauderdale,
Thunderbird Heliport,Fort Lauderdale,
Seminole Lake Gliderport,Groveland,
Mayo Clinic Heliport,Jacksonville,
Kilpatrick Farm Airport,Sneads,
Payson Ranch Airport,Punta Gorda,
Sylvanmir Farms Airport,Keaton Beach,
Twin Cities Hospital Heliport,Niceville,
Sarasota Dept Of Fire-Rescue East Side Heliport,Sarasota,
Timmer Heliport,Lake Wales,
Ames Field,Trenton,
Saw Whet Farms Airport,Bell,
Cove Valley Airport,Williamsburg,
Shamrock Field,Brooklyn,
Stoney Point Field,Cumming,
Fagundes Field,Haralson,
Becker Heliport,Monroe,
Hca Parkway Medical Center Heliport,Lithia Springs,
Spring Valley Farm Airport,Loganville,
Kolibri Airport,Whitesburg,
Central State Hospital Heliport,Milledgeville,
Mac Heliport,Cumming,
Flying W Farms Airport,Carrollton,
Palmyra Park Heliport,Albany,
Rainbow Field,Woodland,
Van Wagnen Airport,Napoleon,
Hazelton Municipal Airport,Hazelton,
Decatur County Hospital Heliport,Leon,
Loring Hospital Heliport,Sac City,
Jennie Edmundson Hospital Heliport,Council Bluffs,
Saint Luke's Medical Center Heliport,Sioux City,
Polk County Hospital Heliport,Des Moines,
Davis Field,Dunkerton,
Leise Airport,Albion,
R S Auto Airport,Lockridge,
Mmsc Heliport,Marshalltown,
Clarke County Hospital Heliport,Osceola,
Regan Ranch Airport,Coeur D Alene,
Turnpaugh Field,Walton,
Executive Inn Heliport,Evansville,
Willis Airport Site No. 2 Airport,Greenfield,
Terre Haute Pepsi Cola Heliport,Terre Haute,
Cornell Airport,Boonville,
Southport Heliport,Indianapolis,
David Beiswanger Ultralightport,South Milford,
Bergs Airport,Lizton,
Godahavit Airport,Wheatland,
Ramme Airport,Genoa,
The American Coal Company Heliport,Galatia,
Phyllis Field,Huntley,
Rummel Restricted Landing Area,German Valley,
Foxfield Aerodrome,Lanark,
Keil Airport,Dongola,
Reid Restricted Landing Area,Gilberts,
Ameritech Center Heliport,Hoffman Estates,
Centralia Correctional Center Heliport,Centralia,
Volmedics Heliport,Brazil,
Whelen Airport,Waldron,
Wyandotte Airport,Lafayette,
Fischer Field,Waldron,
Foghorn Farms Airport,Pendleton,
Mershon Airport,Monrovia,
Lake Pleasant Seaplane Base,Angola,
Mcminn Airport,Rushville,
Lake James Seaplane Base,Angola,
Day Aero-Place Airport,Urbana,
Cary Fire Dept Heliport,Cary,
Lemont Fire Dept Heliport,Lemont,
Good Samaritan Regional Health Care Center Heliport,Mount Vernon,
Holy Family Hospital Heliport,Des Plaines,
Sts Mary and Elizabeth Medical Center Heliport,Chicago,
Trisler Airport,Homer,
St Joseph Medical Center - Joliet Heliport,Joliet,
Edgefield County Airport,Trenton,
Oak Tree Landing,High Springs,
Cablevision Bethpage Heliport,Bethpage,
Shelby County Airport,Shelbyville,
Grundy Center Municipal Airport,Grundy Center,
Keosauqua Municipal Airport,Keosauqua,
Republic County Hospital Heliport,Belleville,
Quinter Air Strip,Quinter,
Stevenson Private Airport,Selden,
Walker Strip,Sharon Springs,
Bussen Airport,Sharon Springs,
Yeamans Fox Nest Airport,Pleasanton,
Kiowa Airport,Kiowa,
Shute Airport,Lebanon,
Mary's Place Airport,Emporia,
Providence Medical Center Heliport,Kansas City,
Flying C Farms Airport,Shelbyville,
Adair Airport,Fountain Run,
Jeffries Farm Airport,Louisville,
Alexander Field,Hickman,
Jackson Barracks Heliport,New Orleans,
Cottonwood Airport,Lake Providence,
Division 'B' Office Heliport,Houma,
Pendleton Memorial Methodist Hospital Heliport,New Orleans,
Dyer Airport,Oakdale,
Church Point Flyers Airport,Church Point,
Williams Flying Service Airport,Winnsboro,
Cagc Freshwater Terminal Heliport,Pecan Island,
Mud Hole Heliport,Kaplan,
Energy Heliport,Houma,
Williamson Airport,Neoga,
Cumberland Air Park RLA Restricted Landing Area,Neoga,
Young Airport,Viola,
Wildy Field,New Athens,
Smith Restricted Landing Area,New Berlin,
Fischer's RLA Restricted Landing Area,New Memphis,
Jasper County Safety Council Heliport,Newton,
Songwood Inn Airport,Watseka,
Hurst Aviation Heliport,Coulterville,
Marked Tree Municipal Airport,Marked Tree,
Lake Gardner Seaplane Base,Amesbury,
Nason Hill Heliport,Sherborn,
Meadowbrook Airport,Amesbury,
Scibelli Heliport,Southwick,
Ferncroft Village Heliport,Middleton,
Baystate Medical Ctr Heliport,Springfield,
Cotuit Heliport,Cotuit,
Quantum (Shrewsbury) Heliport,Shrewsbury,
Acushnet River Seaplane Base,New Bedford,
Cuttyhunk Harbor Seaplane Base,Cuttyhunk,
Dileo Field,Denton,
Spring Landing Airport,Crumpton,
Harp Airport,Wolfsville,
Pembroke Farm Airport,Conowingo,
Civista Medical Center Heliport,La Plata,
D'Angelo Airport,Golts,
White's Airstrip,Pittsville,
Washington Adventist Hospital Heliport,Takoma Park,
King Trout Airport,Grayling,
Jensen Field,Millington,
Deyoung Airport,Allendale,
Curt's Place Airport,Zeeland,
Guardian Industries Heliport,Novi,
Survival Flight Heliport,Ann Arbor,
Hancock Airport,Buchanan,
J P's Field,Zeeland,
Omans Heliport,Almont,
Jr North Heliport,Long Lake,
Rooney Airfield,Ponsford,
Chuck West Memorial Heliport,Evansville,
Brown's Private Airport,Hancock,
Hopkins Police Heliport,Hopkins,
North Center Lake Seaplane Base,Lindstrom,
Gale's Seaplane Base,French Lake,
Goose Lake Seaplane Base,Waconia,
Mankato Farmstrip Airport,Mankato,
Underland Airstrip,Medford,
Benson Airport,White Bear Township,
Blackhawk Airport,Old Monroe,
Markt Air Strip,Oregon,
Ste Genevieve Flying Club Airport,Ste Genevieve,
Flying 'E' Airport,Houston,
Wixted Airport,Osceola,
Perry County Memorial Hospital Heliport,Perryville,
Winter Field,Owensville,
Riverside Landings Airport,Ozark,
Brazeale Farm Airport,Paris,
West Aero Ranch Airport,Peculiar,
Woodbridge Airport,Brandon,
Wells Farm Airport,Crystal Springs,
Flying Shamrock Airport,Mexico,
Craddock Field,Licking,
East 34th Street Heliport,New York,TSS
Evers Seaplane Base,New York,
New York Skyports Inc Seaplane Base,New York,QNY
Eagles Nest Airport,Potters Hill,
Strom Private Airport,Columbus,
South Hector Airstrip,Fargo,
Chase Airstrip,Hebron,
Marsh Brothers Airstrip,Newburg,
Kersten Brothers Airport,Newburg,
Cox-Grantham Airfield,Grantham,
Little Mountain Airport,Denver,
Wilhelm Airport,Kannapolis,
Eastover Air Ranch Airport,Fayetteville,
Brown STOLport,Taylorsville,
Thompson Farms Airport,Whitakers,
North Carolina Helicopters Heliport,Gastonia,
Circle P Farm Airport,Newport,
Marchmont Plantation Airpark,Advance,
Moss Hill Airport,Kinston,
Larson Airport,Fullerton,
Lisburg Airport,Argusville,
Fugleberg Farm Airport,Portland,
Skinningsrud Airport,Berthold,
Van Boening Airport,Wallace,
Jan Pad Heliport,Lincoln,
Lee Field,Bartley,
Hoppy's Airport,Benkelman,
Hoesel Airport,Callaway,
Lentine South Airport,Warren Grove,
Vliet Airport,Washington,
Tamarack Flyers Heliport,Branchville,
Wayne Office Helistop,Wayne,
Griffin Associates Heliport,Moorestown,
Lincoln Tunnel Heliport,Weehawken,
185 Monmouth Parkway Associates Helistop,West Long Branch,
Greenwood Lake Seaplane Base,West Milford,
Lance Airport,Whitehouse Station,
Bridgeport-Cahill Field,Bridgeport,
Syracuse Suburban Airport,Syracuse,
Knapp Airport,Schenevus,
Casey's Airport,Warsaw,
Meerwarth Airport,White Creek,
North Shore University Hospital Nr 2 Heliport,Manhasset,
Ttt Air Airport,North Collins,
Erie County Medical Center Heliport,Buffalo,
New York State D.E.C. Indian Lake Heliport,Indian Lake,
Computer Associates Heliport,Islandia,
Flying K Airport,Oneida,
Cec Heliport,Marcy,
Old Port Royal Airport,Corning,
Omni Airpark,Horseheads,
Airy-Acres Airport,Interlaken,
West Township Airport,Knox,
Mary Immaculate Hospital Heliport,Jamaica Queens,
Firemans White Lake Seaplane Base,Kauneonga Lake,
Piolis Brookside Airport,Kerhonkson,
IBM Kingston Plant Heliport,Kingston,
Benedictine Hospital Heliport,Kingston,
Sky Wagon Ranch Airport,Klamath Falls,
Mercy Medical Center Heliport,Springfield,
Missler-Bellevue Airport,Bellevue,
Craighead Heliport,Novelty,
R C Ford Field,Berkey,
Aring Field,Bowling Green,
Connor Heliport,Powell,
Shelton Airport,Bowling Green,
Nietz Airport,Bowling Green,
Rmz Heliport,Newberry,
Kemps Field of Dreams Airport,Covington,
Derecsky Airport,Auburn Center,
Marion General Hospital Heliport,Marion,
Mitchell Airport,Plain City,
Toledo Hospital Heliport,Toledo,
Cleveland Clinic Foundation Heliport,Cleveland,
Red Roof Inns Heliport,Columbus,
White Airport,Kingfisher,
John Reid Airport,Tahlequah,
Redhills Airport,Chickasha,
Pinson's Cottonpatch Airport,Tipton,
Hillcrest Medical Center Heliport,Tulsa,
Cary Ranch Airport,Reydon,
Earl Henry Airport,Blackwell,BWL
Cochran Ranch Airport,Atoka,
Lasley Private Airport,Eakly,
Mulberry Hill Airport,Stillwater,
Grells Airport,Tangent,
Pointers Airport,The Dalles,
Chenoweth Airpark,The Dalles,
Tillamook County General Hospital Heliport,Tillamook,
Tailwheel Airport,Prineville,
Meridian Park Hospital Heliport,Tualatin,
Wonder Airport,Wonder,
Schmidt Airport,Boring,
Holce & Oblack Airport,Birkenfield,
Reds Wallowa Horse Ranch Airport,Enterprise,
Waunakee Airport,Waunakee,
Myer Airport,Milford,
Tower Airfield,North Washington,
Somerset Hospital Heliport,Somerset,
Hackenburg-Penny Hill Airport,Montoursville,
Scandia Air Park,Russell,
Botsford Aerodrome,Shippensburg,
Air Haven Airport,Moscow,
Berwick Airport,Berwick,
Tall Pines Airfield,Lock Haven,
Shangri La Airport,Burnham,
Lgh-Women and Babies Hospital Heliport,Lancaster,
Port Meadville Heliport,Meadville,
Pocono Mountain Heliport,Mount Pocono,
Sam's Field,Bradford,
Henke Heliport,Pittsburgh,
Moyer Heliport,Pocono Lake,
Posh Heliport,Bethlehem,
Mc Donald's Airport,Brandonville,
Ellwood City Hospital Heliport,Ellwood City,
Stouffers Heliport,King of Prussia,
Champ Field,Knoxville,
Riddle Memorial Hospital Heliport,Media,
Pir Heliport,Nazareth,
North Middlesex Heliport,Carlisle,
Tyler Airport,New Milford,
Allied Signal Heliport,Pottsville,
Columbia Heliport,Columbia,
Welsh Airport,Welsh,
Bird's Nest Airport,Austin,
Alvin Airpark,Alvin,
Old Harbor Airport,Old Harbor,
Davis Airport,Gates,
Powers Airport,Powers,
Stehekin State Airport,Stehekin,
Lesesne Airport,Cross,
Seagate Helistop,Toledo,
Rocking R Ranch Airport,Eldorado,
Sky Ranch Heliport,Eustace,
Rockys Place Airport,Leonard,
Culp Airport,Lawrence,
Winn Exploration Co. Inc Airport,Eagle Pass,
Hhi Hitchcock Heliport,Hitchcock,
B & S Warehouse Heliport,Houston,
Flying K Airport,Weatherford,
Bell Helicopters Auxiliary Heliport,Hurst,
Los Ebanos Ranch Airport,Mathis,
Skalitsky Airport,Edcouch,
Norman & White Airport,Edinburg,
Zimmerle Airport,Abilene,
Hahns Airport,Edna,
Coldwater Ranch Airport,Sunray,
Kubecka Flying Service Inc. Airport,Edna,
6666 Ranch Airport,Guthrie,
Mc Neill Ranch Airport,Wayside,
Douglas Flying Service Private Airport,Aspermont,
Mc Kenzie Field,Avinger,
Waldens Creek Heliport,Pigeon Forge,
Weakleys Field,Pleasantview,
Hawkins County Memorial Hospital Heliport,Rogersville,
Sixty Six Heliport,Sevierville,
The Aviation Valley Airport,Tullahoma,
Decatur County Hospital Heliport,Parsons,
Milan General Hospital Heliport,Milan,
St. Somewhere Airport,Grand Junction,
Valley Regional Heliport,Camden,
Dripping Springs Farm Airport,Burns,
True Airport,Plainview,
Worrell Airport,Kempner,
Dauenhauer Field Airport,Boyd,
Dale Acres Airport,Milford,
Stampede Valley Airport,Moffat,
Eds Administration Nr 1 Heliport,Plano,
Wood Crest Ranch Airport,Normangee,
Johnny Voudouris Heliport,Oak Hill,
Rabb And Nobra Airport,Industry,
Mcp Heliport,Plano,
Department of Public Safety Heliport,Lubbock,
Action 5 Heliport,Fort Worth,
Circle M Ranch Airport,Frelsburg,
Drewery Airport,Mc Kinney,
Whitfield Airport,Kress,
Baptist St Anthony's Hospital Heliport,Amarillo,
Jtj Ranch Airport,Corsicana,
Flying L Airpark,Mansfield,
Hess Airport,Mansfield,
Stovall Ranch Nr 4 Airport,Marathon,
